חודש,"מחוז למ""ס",סמל ישוב,יישוב,"סה""כ דורשי עבודה",גברים,נשים,אקדמאים,אינם אקדמאים,הבטחת הכנסה,דורשי עבודה שאינם עובדים,השמות מתוך הפניות,שיעור אבטלה מוערך ביישוב
2010-01,אזור יהודה והשומרון,3760,אורנית,83,34,49,36,47,4,83,2,2%
2010-01,אזור יהודה והשומרון,3750,אלפי מנשה,88,38,50,26,62,5,88,4,2%
2010-01,אזור יהודה והשומרון,3560,אלקנה,20,12,8,9,11,2,20,2,1%
2010-01,אזור יהודה והשומרון,3650,אפרתה,48,28,20,18,30,8,48,5,1%
2010-01,אזור יהודה והשומרון,3570,אריאל,410,189,221,111,299,156,410,16,4%
2010-01,אזור יהודה והשומרון,3574,בית אל,41,22,19,18,23,15,41,2,2%
2010-01,אזור יהודה והשומרון,3652,בית אריה,59,28,31,10,49,4,59,0,3%
2010-01,אזור יהודה והשומרון,3780,ביתר עילית,318,152,166,13,305,181,313,8,4%
2010-01,אזור יהודה והשומרון,3730,גבעת זאב,153,68,85,25,128,32,153,6,3%
2010-01,אזור יהודה והשומרון,3769,הר אדר,29,14,15,16,13,4,29,2,2%
2010-01,אזור יהודה והשומרון,3797,מודיעין עילית,261,98,163,14,247,93,261,8,3%
2010-01,אזור יהודה והשומרון,3616,מעלה אדומים,590,253,337,93,497,242,584,36,3%
2010-01,אזור יהודה והשומרון,3660,עמנואל,97,55,42,5,92,74,97,2,10%
2010-01,אזור יהודה והשומרון,3557,קדומים,22,11,11,7,15,6,22,2,1%
2010-01,אזור יהודה והשומרון,3611,קריית ארבע,121,64,57,24,97,67,121,4,4%
2010-01,אזור יהודה והשומרון,3640,קרני שומרון,76,42,34,13,63,23,76,3,2%
2010-01,הדרום,31,אופקים,1368,579,789,95,1273,1054,1358,39,12%
2010-01,הדרום,2600,אילת,1534,707,827,73,1461,732,1519,42,5%
2010-01,הדרום,70,אשדוד,7073,2794,4279,823,6250,4675,7025,180,7%
2010-01,הדרום,7100,אשקלון,3890,1604,2286,611,3279,2392,3833,214,7%
2010-01,הדרום,9000,באר שבע,7816,3354,4462,1013,6803,5568,7774,306,8%
2010-01,הדרום,2200,דימונה,2033,898,1135,138,1895,1502,2009,108,12%
2010-01,הדרום,1303,חורה,673,308,365,0,673,612,673,4,22%
2010-01,הדרום,831,ירוחם,428,219,209,32,396,306,419,26,10%
2010-01,הדרום,1059,כסיפה,947,425,522,1,946,853,946,14,26%
2010-01,הדרום,1271,להבים,48,24,24,27,21,3,48,4,2%
2010-01,הדרום,1060,לקיה,899,429,470,5,894,830,897,3,28%
2010-01,הדרום,1268,מיתר,57,25,32,25,32,6,57,5,2%
2010-01,הדרום,99,מצפה רמון,223,85,138,23,200,135,209,28,9%
2010-01,הדרום,246,נתיבות,865,374,491,43,822,538,857,25,7%
2010-01,הדרום,666,עומר,52,19,33,24,28,6,52,4,1%
2010-01,הדרום,2560,ערד,1033,421,612,202,831,736,1014,64,8%
2010-01,הדרום,1192,ערערה-בנגב,902,364,538,3,899,804,901,6,29%
2010-01,הדרום,2630,קריית גת,2478,987,1491,207,2271,1729,2474,107,10%
2010-01,הדרום,1034,קריית מלאכי,1191,525,666,32,1159,865,1180,41,11%
2010-01,הדרום,1161,רהט,2925,1206,1719,8,2917,2605,2922,51,21%
2010-01,הדרום,1286,שגב-שלום,530,220,310,1,529,483,529,5,26%
2010-01,הדרום,1031,שדרות,809,337,472,49,760,443,807,30,7%
2010-01,הדרום,1054,תל שבע,1153,555,598,5,1148,1035,1149,16,30%
2010-01,המרכז,182,אבן יהודה,142,68,74,44,98,24,142,4,2%
2010-01,המרכז,41,אליכין,47,20,27,4,43,13,47,1,3%
2010-01,המרכז,1309,אלעד,362,167,195,34,328,108,360,9,3%
2010-01,המרכז,2530,באר יעקב,238,111,127,36,202,88,232,8,3%
2010-01,המרכז,466,בית דגן,111,61,50,17,94,38,111,4,3%
2010-01,המרכז,1066,"בני עי""ש",189,87,102,37,152,95,185,6,5%
2010-01,המרכז,681,גבעת שמואל,248,121,127,94,154,53,248,15,2%
2010-01,המרכז,2550,גדרה,353,159,194,66,287,121,350,4,4%
2010-01,המרכז,627,ג'לג'וליה,50,26,24,0,50,27,50,0,2%
2010-01,המרכז,166,גן יבנה,325,132,193,42,283,107,324,18,3%
2010-01,המרכז,229,גני תקווה,169,81,88,43,126,25,168,3,2%
2010-01,המרכז,9700,הוד השרון,557,238,319,185,372,61,557,23,2%
2010-01,המרכז,1290,זמר,181,65,116,3,178,136,181,5,7%
2010-01,המרכז,2730,טייבה,2045,878,1167,7,2038,1745,2034,31,14%
2010-01,המרכז,2720,טירה,274,136,138,3,271,177,273,10,3%
2010-01,המרכז,2660,יבנה,959,434,525,69,890,526,953,36,5%
2010-01,המרכז,9400,יהוד,477,196,281,60,417,90,459,20,3%
2010-01,המרכז,1224,כוכב יאיר,85,35,50,47,38,4,85,1,2%
2010-01,המרכז,633,כפר ברא,23,12,11,0,23,9,23,0,2%
2010-01,המרכז,168,כפר יונה,352,146,206,50,302,99,348,17,4%
2010-01,המרכז,6900,כפר סבא,1130,518,612,326,804,260,1124,42,2%
2010-01,המרכז,634,כפר קאסם,175,88,87,2,173,104,175,1,3%
2010-01,המרכז,7000,לוד,2255,946,1309,191,2064,1429,2235,198,7%
2010-01,המרכז,1200,מודיעין-מכבים-רעות*,827,360,467,332,495,81,821,50,2%
2010-01,המרכז,28,מזכרת בתיה,158,70,88,33,125,42,155,0,3%
2010-01,המרכז,7200,נס ציונה,641,276,365,132,509,224,634,5,3%
2010-01,המרכז,7400,נתניה,4514,2028,2486,740,3774,2173,4463,191,5%
2010-01,המרכז,587,סביון*,16,7,9,7,9,1,16,0,1%
2010-01,המרכז,171,פרדסייה,77,31,46,11,66,10,76,2,2%
2010-01,המרכז,7900,פתח תקווה,3890,1742,2148,775,3115,1385,3871,86,4%
2010-01,המרכז,195,קדימה-צורן,235,103,132,70,165,49,233,17,3%
2010-01,המרכז,638,קלנסווה,930,376,554,1,929,763,922,19,13%
2010-01,המרכז,469,קריית עקרון,251,125,126,18,233,129,249,5,5%
2010-01,המרכז,2640,ראש העין,684,335,349,79,605,197,671,56,3%
2010-01,המרכז,8300,ראשון לציון,4459,1971,2488,917,3542,1977,4443,121,4%
2010-01,המרכז,8400,רחובות,2445,1088,1357,519,1926,1114,2412,63,4%
2010-01,המרכז,8500,רמלה,1772,814,958,116,1656,983,1725,86,5%
2010-01,המרכז,8700,רעננה,698,331,367,266,432,103,696,30,2%
2010-01,המרכז,1304,שוהם,165,69,96,80,85,3,165,22,2%
2010-01,המרכז,154,תל מונד,142,57,85,42,100,25,142,8,3%
2010-01,הצפון,473,אבו סנאן,679,257,422,10,669,555,675,4,14%
2010-01,הצפון,478,אכסאל,663,291,372,17,646,552,661,2,14%
2010-01,הצפון,529,אעבלין,669,280,389,12,657,577,669,1,14%
2010-01,הצפון,482,בועיינה-נוג'ידאת,503,214,289,5,498,425,499,1,16%
2010-01,הצפון,4001,בוקעאתא,373,170,203,2,371,308,365,0,16%
2010-01,הצפון,998,ביר אל-מכסור,425,177,248,2,423,324,424,0,14%
2010-01,הצפון,480,בית ג'ן,333,110,223,3,330,242,331,2,8%
2010-01,הצפון,9200,בית שאן,786,335,451,18,768,453,782,47,8%
2010-01,הצפון,944,בסמת טבעון,308,117,191,3,305,243,308,3,11%
2010-01,הצפון,483,בענה,464,193,271,1,463,419,464,1,17%
2010-01,הצפון,1292,ג'דיידה-מכר,1393,595,798,6,1387,1178,1393,9,18%
2010-01,הצפון,485,ג'ולס,182,65,117,6,176,117,182,3,8%
2010-01,הצפון,487,ג'ש (גוש חלב),56,22,34,3,53,31,56,1,4%
2010-01,הצפון,489,דבורייה,421,203,218,14,407,329,421,2,12%
